;title;date;tags;text
40;50 минут до старта: Комментарий Романа Грожана;2018-10-07 07:20:00+03:00;['Роман Грожан', 'Haas F1 Team'];['Роман Грожан в квалификации на Гран При Японии показал пятое время. Перед стартом он рассказал о том, чего ждёт от гонки...', 'Роман Грожан: «В пятницу мы были достаточно быстры, а с сегодняшней теплой погодой шины Soft должны быть оптимальным вариантом для первого отрезка – надеюсь, так и получится. Постараемся хорошо провести гонку и остаться лучшими среди команд середины пелотона.', 'А ещё будем внимательно следить за тем, как Даниэль Риккардо будет прорываться через пелотон. Расчеты показывают, что ему удастся нас опередить, но никогда не знаешь, как всё на самом деле сложится – надеюсь, компьютер ошибается!»']
41;60 минут до старта: Комментарий Брендона Хартли;2018-10-07 07:10:00+03:00;['Брендон Хартли', 'Toro Rosso'];['Квалификация в Сузуке оказалась для Брендона Хартли лучшей в карьере – он показал шестое время. Перед стартом новозеландец рассказал, чего ждёт от гонки по этой новой для него трассе.', 'Брендон Хартли: «Сузука понравилась мне, как только я проехал по ней в пятницу. У нас с Honda много болельщиков здесь.', 'Как я уже говорил вчера, здорово стартовать с шестой позиции! Вчера меня переполняли эмоции, когда я возвращался в боксы. Такое редко бывает: обычно я спокоен за рулем. Возможно, это связано с тем, что произошло за последние полгода. Я знаю, что на самом деле я сильнее, но всё шло не так, и каждую неделю мне приходилось отвечать на глупые вопросы журналистов. Из-за всего  этого я испытывал огромный прессинг.', 'Квалификация получилась сложной. Но во времена выступления в гонках на выносливость я приобрёл огромный опыт. Я пилотировал точно, избегал мокрых поребриков. В итоге всё сработало, и я добился отличного результата.', 'Позади стартуют Феттель и Риккардо – сложно удержать их позади, впрочем, на этой трассе трудно обгонять. Роман Грожан впереди стартует на более жёстком составе резине. Наша цель – опередить его, и тогда наша гоночная стратегия должна сработать».']
42;70 минут до старта: Комментарий Даниэля Риккардо;2018-10-07 07:00:00+03:00;['Даниэль Риккардо', 'Red Bull Racing'];['Для Даниэля Риккардо квалификация в Сузуке прошла крайне неудачно, и стартовать пилот Red Bull Racing будет только 15-м. Перед стартом он рассказал о том, чего ждёт от этой гонки...', 'Даниэль Риккардо: «Сегодня настроение уже получше! Всё в порядке, я проснулся утром и почувствовал, что готов к борьбе. Я занялся тем, что проанализировал предыдущий опыт стартов на этом автодроме, чтобы прикинуть, где располагать машину на трассе на первом круге, и как побыстрее прорваться через пелотон.', 'Разумеется, надо посмотреть, как всё будет складываться, но у меня боевой настрой. Я уже давно испытываю острое желание вновь добиться успеха и надеюсь, что сегодня мне удастся использовать эту спортивную злость, чтобы заработать побольше очков».']
43;80 минут до старта: Комментарий Макса Ферстаппена;2018-10-07 06:51:00+03:00;['Макс Ферстаппен', 'Red Bull Racing'];['Во время квалификации в Сузуке Макс Ферстаппен показал третье время, пропустив только пилотов Mercedes. Перед стартом он рассказал о том, чего ждёт от гонки...', 'Макс Ферстаппен: «Погода гораздо жарче, чем вчера, так что посмотрим, как сложится гонка. Мы не ожидали, что квалифицируемся на третьем месте, но я постараюсь воспользоваться преимуществом этой позиции и хорошо провести гонку.', 'Я всегда стараюсь атаковать, но посмотрим, как будут развиваться события по ходу дистанции. Я с нетерпением жду борьбу».', '']
44;90 минут до старта: Комментарий Валттери Боттаса;2018-10-07 06:40:00+03:00;['Валттери Боттас', 'Mercedes'];['Валттери Боттас квалифицировался в Японии вторым, позади своего напарника по Mercedes Льюиса Хэмилтона. Перед стартом он рассказал о своих ожиданиях от гонки...', 'Валттери Боттас: «Сегодня отличная погода, и мне это нравится! У меня хорошее настроение, как и обычно перед гонкой. Мы должны завершить начатую вчера работу как единая команда.', 'Моя задача – подняться на подиум, не меньше. Если говорить о целях команды, то они гораздо выше, поскольку у нас отличная возможность увеличить отрыв в чемпионате».', '']
45;Эриксон получил новый мотор и коробку передач;2018-10-07 06:17:00+03:00;['Маркус Эриксон', 'Sauber'];['Механики Sauber восстановили машину Маркуса Эриксона после аварии в первой части квалификации.', 'В FIA подтвердили замену силовой установки и коробки передач, как и соответствующий штраф на 15 мест, но швед квалифицировался последним, так что фактически позиций не потеряет.']
46;Варианты стратегии от Pirelli;2018-10-06 16:19:00+03:00;['Pirelli'];['В Pirelli считают стратегию с одним пит-стопом самым быстрым способом проехать дистанцию из 53 кругов в Сузуке.', 'Для этого после старта на Soft нужно на 25-м круге перейти на шины Medium и на них финишировать. Есть и зеркальный вариант – после старта на Medium перейти на Soft в районе 28 круга.', 'Стартующим на SuperSoft придётся сменить резину в районе 20 круга – и ехать на Medium до финиша в случае одного пит-стопа. В случае двух пит-стопов в Pirelli считают оптимальным старт на SuperSoft, переход на Soft на 14 круге, а потом ещё один комплект Soft на 34-м.']
47;Риккардо рад, что обойдётся без штрафа...;2018-10-06 14:46:00+03:00;['Даниэль Риккардо', 'Red Bull Racing'];['Даниэль Риккардо не смог завершить квалификацию из-за проблем с силовой установкой, но после осмотра машины выяснилось, что замена её блоков не потребуется…', 'Даниэль Риккардо: «Сегодня всё прошло неудачно, но хорошая новость в том, что завтра мне не придётся отбывать какие-либо штрафы. Хуже уже не будет.', 'Проблема была с приводом дросселя. По сути, он сломался. Прибавляя газ, я чувствовал, что с машиной что-то не так. Звук был каким-то неприятным. А потом, когда уже в боксах мы попытались запустить двигатель, одна из деталей сломалась. Я бы предпочёл, чтобы это произошло на тренировках, а не в квалификации, но ничего не поделать.', 'Отыграться будет непросто. Не представляю, как быстро сможет прорываться наверх Себастьян, но даже ему будет сложно здесь обгонять, несмотря на очень высокую скорость на прямой, которой нет у нас. Очевидно, моя машина быстрее, чем у тех, кто будет стартовать рядом, но я не жду, что смогу легко их обогнать. Я сделаю всё, что смогу, но эта гонка вряд ли получится сумасшедшей».']
48;В McLaren признали ошибочность выбора шин на уик-энд;2018-10-06 13:59:00+03:00;['Стоффель Вандорн', 'Жиль де Ферран', 'McLaren'];['Перед началом уик-энда в Японии многих удивил выбор шин, сделанный McLaren для этого Гран При. Шинники везли в Сузуку Medium, Soft и SuperSoft, и практически все команды предпочли минимизировать число жёстких комплектов, сделав акцент на SuperSoft.', 'Для примера, достаточно агрессивный выбор Ferrari включал по 10 комплектов SuperSoft для своих гонщиков и лишь по одному Medium. Консервативный вариант Mercedes включал семь комплектов SuperSoft и два – Medium. Больше двух комплектов Medium не заказал никто, кроме команды из Уокинга.', 'Выбор McLaren радикально отличался от сделанного соперниками. Для обоих пилотов было заказано по четыре комплекта Medium, пять Soft и всего по четыре SuperSoft. На встрече с прессой после квалификации спортивный директор команды Жиль де Ферран признал, что выбор оказался ошибочным, и объяснил его причины.', 'Жиль де Ферран: «Нам было известно, что наша машина лучше работает на более жёстких составах. Мы подумали, что это будет хороший выбор для трассы с высокими перегрузками и большим количеством поворотов. Как выяснилось, мы ошиблись. Мы провели весь уик-энд, пытаясь справиться со сделанным нами неоптимальным выбором, вот и всё.', 'Но это был наш осознанный выбор. Я читал в прессе предположения, якобы мы просто опоздали с заявкой и в Pirelli назначили нам составы сами, но это неправда».', 'Столь радикальное решение заставило McLaren минимизировать использование SuperSoft на свободных заездах. В итоге в квалификации они опередили только Маркуса Эриксона, который разбил машину. Даже оба гонщика Williams квалифицировались на более высоких позициях. Тем не менее, Стоффель Вандорн сомневается, что с иным выбором шин результат мог быть намного лучшим.', 'Стоффель Вандорн: «Не думаю, что иной выбор шин кардинально изменил бы итоги квалификации. Возможно, подготовка к квалификации прошла не идеально, но судя по тем результатам, что мы показывали в этот уик-энд, вряд ли мы могли быть намного быстрее. С другой стороны, учитывая число шин, оставшихся у нас, если завтра по какой-то причине станет очень жарко и шины начнут пузыриться, мы получим преимущество».']
49;Хэмилтон: Мы принимали правильные решения;2018-10-06 13:48:00+03:00;['Льюис Хэмилтон', 'Тото Вольфф', 'Валттери Боттас', 'Mercedes'];['В Сузуке, второй Гран При подряд, гонщики Mercedes займут весь первый ряд стартового поля, хотя условия в двух этих квалификациях были совсем разными...', 'Льюис Хэмилтон (1-й): «Сессия началась при хорошей погоде, но потом пошел дождь, несколько машин развернуло. Было трудно понять, в каком состоянии трасса, намок асфальт или ещё нет. В этот уик-энд до квалификации мы не работали на влажной трассе, поэтому ждали в боксах, пока проедет кто-то другой.', 'Сегодня мы принимали правильные решения. Жаль, что из-за погоды не удалось провести вторую попытку в конце квалификации, но выбор времени для быстрого круга и всё остальное было сделано верно – в условиях прессинга мы действовали хладнокровно и слаженно, как одна команда.', 'Выступать в такой команде – большая честь. Я горжусь тем, что сегодня завоевал свой 80-й поул. Последние шесть лет с этой командой были удивительными, я благодарен всем нашим сотрудникам – благодаря их усилиям я могу использовать свои способности».', 'Валттери Боттас (2-й): «Прежде всего, я хочу поздравить Льюиса с 80-м поулом за карьеру – это заслуживает уважения. Сегодня машина была быстра, как и по ходу всего уик-энда, позволяя атаковать в квалификации. В третьей тренировке машине не хватало стабильности, я старался почувствовать большую уверенность. В начале квалификации ситуация изменилась к лучшему, а во второй сессии всё наладилось.', 'В финале у нас была только одна попытка, я потерял немного времени на втором и третьем секторе, но в целом проехал неплохо. Все в команде могут гордиться нашим сегодняшним достижением – и скоростью машины, и принятыми решениями. В условиях прессинга мы действовали спокойно и решительно. Возможно, со стороны сегодняшняя квалификация могла показаться хаотичной, но мы всё сделали верно, добившись заслуженного результата».', 'Тото Вольфф, руководитель команды: «Квалификация получилась напряженной, но в финальной сессии всё прошло гладко, да и удача оказалась на нашей стороне. Гонщики отлично справились, проехав быстрый круг в начале сессии, сочетая агрессию и осторожность в сложных условиях. Но сегодня мы больше аплодируем сотрудникам команды на пит-лейн, в боксах и нашей группе поддержки в Брэкли и Бриксуорте. В такие дни допустить ошибку гораздо легче, чем всё сделать правильно, но мы принимали нужные решения в нужное время.', 'Радость от результата быстро прошла, сейчас мы полностью сосредоточены на завтрашней гонке. Прогноз обещает гораздо более жаркую погоду, а на прошлой неделе в Сочи мы уже видели, как серьёзно может измениться расстановка сил между субботой и воскресеньем. Мы сохраняем осторожный подход, твёрдо стоим на земле и готовимся к решению любых проблем, которые могут возникнуть завтра. Гонка лишь завтра, мы нацелены на хороший результат, но сегодня сделали к нему хороший первый шаг».']
50;В Toro Rosso довольны итогами дня;2018-10-06 13:26:00+03:00;['Брендон Хартли', 'Пьер Гасли', 'Тойохару Танабе', 'Toro Rosso'];['Для Toro Rosso квалификация в Японии стала самой успешной с начала сезона: Брендон Хартли показал шестой результат, Пьер Гасли уступил напарнику всего семь сотых и стартует седьмым...\n\nБрендон Хартли (6-й): «Обычно я не проявляю эмоции, но сегодня на круге возвращения в боксы буквально ликовал, ведь  после многочисленных трудностей, с которыми пришлось иметь дело по ходу сезона, удалось выступить здорово. Хорошо, что всё получилось, и я сам в нужный момент сработал так, как требовалось!', 'Из-за погоды квалификация получилась непростой, но команда идеально выстроила стратегию, мы выезжали на трассу в оптимальный момент. Приятно завоевать шестое место перед сотрудниками Honda и многочисленными японскими болельщиками! Конечно, этот результат ещё предстоит преобразовать в очки, но сейчас я очень ему рад!»', 'Пьер Гасли (7-й): «Фантастическая квалификация! Шестое и седьмое место вместе с Honda в Сузуке – лучший для нас квалификационный результат с начала года, особенно приятно добиться его в Японии.', 'В Сузуке сложно обгонять, потому важно уделить особое внимание старту. Мы с Брендоном с начала уик-энда выглядим уверенно и будем атаковать изо всех сил, ведь рядом стартуют очень быстрые соперники. Надеюсь, мы сможем побороться с Грожаном за пятое место. По ходу сезона в гонках нам часто удавалось использовать все возможности, потому нужно сохранять концентрацию и добиться максимально возможного результата».', 'Джонатан Эддоллс, главный гоночный инженер: «Фантастический итог субботы, которая началась для нас очень непросто. Брендон хорошо провел утреннюю тренировку, пусть результаты этого не подтверждали: наш гонщик понимал, что он и машина способны на большее. По ходу сессии ветер сильно влиял на баланс, но мы знали, что в квалификации Хартли сможет прибавить.', 'На машине Пьера утром возникли сложности с калибровкой силовой установки, из-за чего он не смог проехать по-настоящему быстрый круг и оптимальным образом подготовиться к квалификации.', 'Сама квалификация из-за погоды получилась непростой, но команда во всех сессиях действовала безупречно – можно смело сказать, что наши гонщики всегда оказывались на трассе на оптимальных шинах и в нужный момент времени, а продуктивное взаимодействие между нашими инженерами, механиками и специалистами Honda помогло добиться впечатляющего результата! Брендон и Пьер своевременно проехали быстрый круг в финальной сессии, а начавшийся дождь закрепил за ними эти позиции!»', 'Тойохару Танабе, технический директор Honda F1: «Фантастическое выступление Брендона, Пьера и всей нашей команды, а тот факт, что результат добыт на домашней для Honda трассе, делает его особенно приятным. Нам удалось справиться с проблемами, с которыми мы столкнулись на этапе в Сочи – я хотел бы поблагодарить всех, кто приложил для этого максимум усилий.', 'К этапу в Сузуке мы подготовили очень быструю машину, а в квалификации безупречно сработали в непростых условиях – в итоге наши гонщики стартуют с шестой и седьмой позиции. Этот результат стал возможен благодаря усилиям всех сотрудников на трассе и в подразделениях в Японии, Италии и Великобритании.', 'Вместе с тем настройки силовой установки на машине Пьера по-прежнему не оптимальны, и мы внимательно изучим всю собранную информацию, чтобы понять, нужно ли внести коррективы. Пусть сегодня в команде все очень довольны, очки начисляются только завтра – мы сохраняем концентрацию и надеемся порадовать японских болельщиков отличным выступлением».']
51;Видео: Авария Эриксона и разочарование Риккардо;2018-10-06 13:24:00+03:00;['Даниэль Риккардо', 'Маркус Эриксон'];['Квалификация в Сузуке мало для кого прошла гладко, однако, пожалуй, её главными неудачниками стали Маркус Эриксон и Даниэль Риккардо. Швед разбил машину уже в начале сессии, из-за чего остался последним.', 'Q1 = a tough one for Marcus Ericsson, as a spin and slide at Suzuka ends his session early 👀🔄😩🇯🇵 . #F1 #Formula1 #JapaneseGP #Japan #Suzuka #Ericsson #Sauber @ericsson_marcus @sauberf1team @suzukacircuit_official', 'Публикация от  FORMULA 1® (@f1) 6 Окт 2018 в 3:14 PDT', 'Риккардо прошёл во вторую часть квалификации, однако принять в ней участие не смог из-за поломки машины и был крайне этим раздосадован (лучше включить звук)...', 'SOUND ON: Out in Q2 = tough to take 😡😡😡 . #F1 #Formula1 #JapaneseGP #Ricciardo', 'Публикация от  FORMULA 1® (@f1) 6 Окт 2018 в 1:23 PDT']
52;Хюлкенберг: Я выбрал не лучший момент разбить машину;2018-10-06 13:24:00+03:00;['Нико Хюлкенберг', 'Алан Пермейн', 'Карлос Сайнс-младший', 'Renault'];['Лучшим результатом Renault в квалификации Гран При Японии стало тринадцатое место Карлоса Сайнса. Его напарник Нико Хюлкенберг не вышел из первой части и стартует шестнадцатым. После окончания сессии в команде подвели итоги дня.', 'Карлос Сайнс (13-й): «Мы считали, что можем попасть в первую десятку, но в нужный момент не прибавили в скорости. Квалификация могла сложиться иначе, но дождь начался раньше, чем мы ожидали – и я не смог проехать круг на новых шинах во второй сессии.', 'Первую попытку во второй сессии я проехал на прикатанных шинах, поэтому время оказалось недостаточно быстрым. Сложно сказать, насколько я мог оказаться быстрее на новом комплекте. В любом случае, очки начисляют завтра, так что посмотрим, как все сложится».', 'Нико Хюлкенберг (16-й): «Механики напряженно работали, чтобы подготовить машину к квалификации – я выбрал не лучший момент, чтобы разбить ее в конце третьей сессии. С первого же круга с машиной все было в порядке, и я действительно удивлен, что не смог выйти из первой части, поскольку оба круга получились хорошими.', 'Прогресс во второй попытке оказался недостаточным, чтобы выйти дальше – это огорчает. Завтра нас ждет сложный день, но мы будем бороться».', 'Алан Пермейн, спортивный директор: «Механики Нико отлично поработали, чтобы подготовить машину к квалификации, но ему не повезло – он не вышел во вторую часть. У Карлоса получилось, но сочетание погоды и трафика привело к тому, что темп машины оказался недостаточным, чтобы выйти в финал. Прогноз обещает сухую погоду, так что будет сложно прорваться вперед, учитывая очень высокую конкуренцию на этой трассе».']
53;Шарль Леклер: Завтра мы можем добиться большего;2018-10-06 13:12:00+03:00;['Маркус Эриксон', 'Шарль Леклер', 'Sauber'];['Маркус Эриксон ошибся в начале квалификации в Сузуке и разбил машину. Шарль Леклер неплохо провёл сессию и показал 11-е время, но считает, что мог добиться большего.', 'Шарль Леклер (11-й): «В целом успешный день, но завтра мы можем добиться большего. В квалификации мы были быстры, поэтому жаль, что не удалось пройти в финал. На первом быстром круге во второй сессии я допустил небольшую ошибку, потом пошёл дождь и я не смог улучшить время на круге. Впрочем, теперь у нас есть преимущество – мы можем стартовать в гонке на любых шинах. С нетерпением жду возвращения на трассу».', 'Маркус Эриксон (20-й): «Досадно, что после успешного уик-энда всё закончилось вот так. К сожалению, квалификация прошла не так, как мне хотелось бы. Сложный день, а из-за переменчивой погоды было непросто выступать. На входе в 7 поворот скорость была слишком велика, ветер оказался довольно сильным и машину развернуло. Постараюсь отыграть как можно больше позиций в гонке».']
54;Феттель: Всё могло сложиться и наоборот;2018-10-06 13:00:00+03:00;['Кими Райкконен', 'Себастьян Феттель', 'Ferrari'];['Квалификация в Сузуке сложилась для пилотов Ferrari крайне неудачно. Судя по скорости на свободных заездах в субботу и в первых частях квалификации, гонщики Скудерии могли претендовать на первый ряд стартового поля, но неудачное решение выехать в финале на промежуточных шинах лишило их этого шанса.', 'В итоге Райкконену всё же удалось оказаться на втором ряду, он квалифицировался четвёртым, хотя и проиграл Хэмилтону 1,7 секунды. Феттель же показал только девятое время, хотя из-за штрафа Эстебана Окона стартовать он будет восьмым.', 'Кими Райкконен (4-й): «Непростая квалификация при переменчивой погоде. Мы думали, что дождь начнётся раньше, поэтому решили выехать на промежуточных шинах. К сожалению, этого не произошло, в итоге мы упустили момент. Мы вернулись, чтобы перейти на SuperSoft, но в 14-м повороте я наехал на влажный поребрик, выехал слишком широко и потерял какое-то время.', 'Конечно, четвёртое место – не идеальный результат, но, по крайней мере, мне удалось  завершить круг, несмотря на ошибку. Я мог занять и третью позицию. Жаль, что добиться большего сегодня не удалось – по ощущениям машина в квалификации становилась всё лучше. Завтра нас ждёт непростая гонка, но мы приложим все усилия».', 'Себастьян Феттель (9-й): «В начале финальной части квалификации меня спросили, готов ли я выехать на промежуточных шинах, я ответил согласием. Сейчас очевидно, что решение было ошибочным, но всё могло сложиться наоборот. Мы думали, что дождь усилится, но этого не произошло.', 'Если бы дождь начался на пять минут раньше, всё было бы иначе. Однако с точки зрения выбора времени сессия оказалась для нас неудачной, и подобные ситуации случались у нас и раньше. Мы – команда, так что вместе отвечаем за последствия. Завтра другой день, учитывая наши стартовые позиции, добиться успеха будет нелегко, но не невозможно».']
55;Ферстаппен: Машины Mercedes слишком быстры;2018-10-06 13:00:00+03:00;['Кристиан Хорнер', 'Даниэль Риккардо', 'Макс Ферстаппен', 'Red Bull Racing'];['Макс Ферстаппен доволен результатом квалификации в Сузуке, показав третье время. У Даниэля Риккардо возникли технические проблемы – он не смог подняться выше пятнадцатого места...', 'Макс Ферстаппен (3-й): «Сегодня, как команда, мы не допустили ошибок на трассе и за ее пределами. В финале удалось оптимизировать настройки и завоевать очень хорошую позицию на старте. Критически важным стал переход в начале финальной сессии с промежуточных шин на слики, что позволило опередить Ferrari и показать хорошее время.', 'Я гораздо больше доволен собой и скоростью машины, чем в пятницу. Напряженная работа, которую парни проделали за ночь, окупилась, и я смог хорошо провести квалификацию.', 'Полагаю, гонщики Mercedes слишком быстры, чтобы мы могли побороться с ними в гонке, но кто знает, как все сложится при успешном старте. Себастьян Феттель будет стремиться как можно быстрее прорваться наверх, поэтому, возможно, в какой-то момент мне придется обороняться, и я сделаю все возможное, чтобы сохранить позицию. Нужно сконцентрироваться на выборе лучшей стратегии. Надеюсь подняться на подиум».', 'Даниэль Риккардо (15-й): «Как только я проехал последнюю шикану, готовясь к началу быстрого круга, я сразу почувствовал, что что-то не так. Двигатель не выдавал полную мощность, и я услышал, что турбина звучит как-то неправильно. Я сразу свернул в боксы, и мы попытались это исправить, но я думаю, что проблема серьезная. После пошел дождь. Если бы я вернулся на трассу во время дождя и не смог бы проехать круг, это было бы еще болезненней.', 'У меня просто ничего не получается, и мне это надоело. Я делаю все, что в моих силах, и я это знаю, но ничего не работает. Надеюсь, скоро все изменится. Это меня злит, поскольку если бы это было из-за меня, все было бы по-другому, но я хочу сделать максимум возможного для Red Bull до конца года, и каждая гонка важна».', 'Кристиан Хорнер, руководитель команды: «К позитивным итогам дня можно отнести тот факт, что Макс квалифицировался третьим и вновь фантастически выступил в сложных условиях. Дождь пошел в начале третьей части, поэтому все сводилось к тому, чтобы хорошо проехать первый круг, и Максу это удалось. Когда дождь усилился, никто не смог прибавить, поэтому результат Макса оказался в безопасности.', 'Что касается Даниэля, то для нас стало серьезным разочарованием, что он выбыл из борьбы в самом начале второй сессии из-за проблем с приводом дросселя. Мы очень хотим, чтобы он завершил свои пять последних гонок в составе Red Bull с высокими результатами. К сожалению, когда происходят поломки, находящиеся вне нашего контроля, это невероятно огорчает Даниэля и всю команду».']
56;В Force India рассчитывали на большее;2018-10-06 12:39:00+03:00;['Отмар Сафнауэр', 'Серхио Перес', 'Эстебан Окон', 'Force India'];['В Сузуке гонщики Racing Point Force India квалифицировались в первой десятке, но Эстебан Окон потеряет три места на старте из-за штрафа...', 'Эстебан Окон (8-й): «Восьмое место – неплохой результат, но я не вполне им доволен, поскольку мы не реализовали свой потенциал. В финале квалификации мы заправили машину на несколько кругов, рассчитывая, что состояние трассы будет улучшаться, но асфальт был сухим именно в начале сессии, когда в баках было больше топлива, а к началу второй попытки дождь усилился. Молодцы те, кто сориентировался лучше нас, но завтра постараемся добиться большего. Посмотрим, как сложится гонка».', 'Серхио Перес (10-й): «Я недоволен результатом, поскольку уверен – мы должны были оказаться впереди многих соперников. Квалификация складывалась очень непросто: когда Маркус Эриксон разбил машину, мне не хватило нескольких метров, чтобы завершить попытку – пришлось выезжать повторно. Ну а в начале финальной сессии, когда состояние трассы было оптимальным, я слишком широко вышел из поворота и потерял время.', 'Определенно, мы могли добиться большего, в гонке предстоит отыгрываться, но мы стартуем из первой десятки, у нас хороший темп – думаю, команда вправе рассчитывать на солидное количество очков».', 'Отмар Сафнауэр, руководитель команды: «Из-за погоды квалификация получилась непростой. С одной стороны, приятно видеть  обе машины в первой десятке, с другой – в финале мы не смогли продемонстрировать всю свою скорость. Мы отправили гонщиков на попытку с количеством топлива, позволяющим проехать несколько кругов подряд, но решающее значение имел результат именно на первом быстром круге.', 'Эстебан чисто провёл попытку, а Серхио допустил ошибку, стоившую ему нескольких секунд. В пятницу на длинной серии кругов мы были быстры, что позволяет с оптимизмом ждать гонку, но обгонять в Сузуке крайне сложно. Многое зависит от верного выбора момента для пит-стопа».']
